,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
254,大数据产品经理,/job_detail/afca81fea4a255231nZ-2tu4F1ZQ.html,广州·越秀区·东风中路,20-25K·16薪,5-10年,本科,数字广东,/gongsi/ae9cceba97b3fdfd1XR609q_Ew~~.html,计算机软件,未融资,1000-9999人,"['产品设计', '需求分析', '数据分析', '大数据', '人工智能', '云计算', '中台产品', '大屏展示']",交通补助，定期体检，补充医疗保险，节日福利，通讯补贴，带薪年假，员工旅游，年终奖，五险一金，零食下午茶，餐补
255,大数据产品负责人,/job_detail/bdb84684ddbdb46b1XZ60tS4F1VR.html,广州·白云区·石井,40-60K·15薪,5-10年,本科,棒谷科技,/gongsi/0f6f1aaab35956261XV4294~.html,电子商务,不需要融资,1000-9999人,"['产品设计', '用户研究', '用户增长', '数据分析']",交通补助，五险一金，员工旅游，免费班车，餐补，全勤奖，带薪年假，年终奖，节日福利
256,数据开发工程师(天河，双休）,/job_detail/f581cd5f767dbcce1nR609u-GFtR.html,广州·花都区·旧区,11-20K·14薪,3-5年,本科,广州樊文花化妆品公司,/gongsi/3bfe1aaa46a4700c1HZ_0ti4.html,企业服务,不需要融资,10000人以上,"['数据仓库', '数据挖掘', '数据分析']",带薪年假，节日福利，全勤奖
257,数据挖掘工程师（算法专家）,/job_detail/85fe32ab3e35c8541Hx509W0FVU~.html,广州·黄埔区·大沙,15-25K,3-5年,硕士,衡昊数据,/gongsi/5262855a13efa29903R-3t20Fw~~.html,计算机软件,,20-99人,"['数据分析', '机器学习', '人工智能']",
258,数据分析专家,/job_detail/8fdd07c47dee46251n160tu0EVRV.html,广州·番禺区·南村,30-50K·13薪,经验不限,本科,SHEIN,/gongsi/6a149cb48ebe0d3b1HZ43t20Eg~~.html,电子商务,D轮及以上,10000人以上,['Excel'],带薪年假，定期体检，节日福利，股票期权，五险一金，餐补，员工旅游，年终奖，零食下午茶
259,数据分析专家,/job_detail/0d5cdcb47b54fa571nx53N26ElVQ.html,广州·天河区·岑村,25-50K·15薪,5-10年,本科,小鹏汽车,/gongsi/1ab3d8fb705b4da303Z83Nm1.html,汽车生产,已上市,10000人以上,"['Tableau', 'Hive']",补充医疗保险，节日福利，带薪年假，定期体检，五险一金，年终奖，餐补，包吃，股票期权
260,物流数据研究分析员,/job_detail/89eadf5a6b28c2b41XZ73tS0ElNQ.html,广州·海珠区·新港西路沿线,6-10K,经验不限,本科,广州市福思特科技...,/gongsi/ff3d805259cd49970nR509i4FA~~.html,计算机软件,不需要融资,100-499人,['Python'],年终奖，五险一金，带薪年假，节日福利，通讯补贴
261,游戏数据分析师,/job_detail/e9febdb61023572b1XZ42tW9ElFV.html,广州·天河区·天河公园,12-20K·13薪,1-3年,大专,中顺网络,/gongsi/26c5ae43dbf6ab071HZ73di8.html,游戏,未融资,100-499人,"['SQL', '数据建模', '游戏数据逻辑', '游戏数据分析']",全勤奖，带薪年假，餐补，五险一金，年终奖，团建，节日福利
262,游戏数据分析师（研发）,/job_detail/fc48b32f2cadebd11nd73d2-FFdR.html,广州,15-30K·15薪,3-5年,本科,三七互娱,/gongsi/961f8d30b1d5546b1X1-2965Fg~~.html,移动互联网,已上市,1000-9999人,"['游戏', '游戏数据']",带薪年假，员工旅游，年终奖，股票期权，五险一金，节日福利，全勤奖，补充医疗保险，交通补助，通讯补贴，包吃，餐补，零食下午茶，定期体检
263,大数据分析工程师,/job_detail/2a6e24ba8d5085101n1-3Nm4EVpR.html,广州·黄埔区·科学城,6-10K,1-3年,本科,广州尚科,/gongsi/488b4cd139c7be361nFy2tq9FVY~.html,数据服务,不需要融资,20-99人,"['Tableau', 'SQL', 'Python', 'Shell', '聚类分析', '回归分析', 'Spark', 'HDFS']",加班补助，员工旅游，零食下午茶，节日福利，带薪年假，免费班车
264,大数据分析师,/job_detail/8f27181622cf71fc1nNz2t69FFNR.html,广州·越秀区·建设路,12-20K·14薪,1-3年,本科,美亚柏科,/gongsi/50dc25e60016b1491ndy2tW-Fg~~.html,信息安全,已上市,1000-9999人,"['Python', 'SPSS', 'SAS', 'Stata', 'Matlab']",股票期权，免费班车，交通补助，五险一金，加班补助，员工旅游，零食下午茶，带薪年假，年终奖，补充医疗保险，餐补，通讯补贴，定期体检，节日福利
265,大数据分析师,/job_detail/1b1bf5ef751abd021XV83d29FVpR.html,广州·海珠区·琶洲,15-25K·14薪,经验不限,本科,汇智通信,/gongsi/7636e3a2053424b40Xxz3Nm5.html,通信/网络设备,,1000-9999人,"['Java', 'SQL']",零食下午茶，通讯补贴，五险一金，定期体检，员工旅游，年终奖，补充医疗保险，交通补助，节日福利，股票期权，餐补，带薪年假
266,高级数据分析经理,/job_detail/82ae910983614d4f1XV40ty_EFJW.html,广州,25-50K,10年以上,本科,网易,/gongsi/38bd5c757efa4ab6331z.html,移动互联网,已上市,10000人以上,"['数据分析', '业务分析', '用户分析', '营收分析']",全勤奖，补充医疗保险，五险一金，定期体检，节日福利，包吃，年终奖，免费班车，带薪年假
267,数据分析助理,/job_detail/7d7dbe5c4b83cede1n183N61GFZQ.html,广州·天河区·棠下,6-8K,1年以内,大专,帝诺科技,/gongsi/b596a7937150ad161n1729W6E1U~.html,互联网,,20-99人,"['SQL', 'Excel', 'Tableau']",餐补，节日福利，零食下午茶，年终奖，带薪年假，全勤奖，加班补助，员工旅游，五险一金
268,大数据分析工程师,/job_detail/bc9f25614cee75e21XR73tW1GVBR.html,广州·黄埔区·科学城,13-26K,3-5年,本科,杰创智能,/gongsi/cc4e01a75f95ae430HV73tS9EQ~~.html,数据服务,已上市,500-999人,"['Python', 'Scala', 'Spark', 'Flume', 'Kafka', 'Hadoop', 'Hbase', 'Streaming']",加班补助，节日福利，员工旅游，五险一金，餐补，免费班车，定期体检，补充医疗保险，零食下午茶，股票期权，年终奖，带薪年假
269,经营分析-生活服务,/job_detail/b652c94bb801a1c31XV_2Nm4GVVR.html,广州·天河区·猎德,25-50K·18薪,3-5年,本科,今日头条,/gongsi/a67b361452e384e71XV82N4~.html,移动互联网,D轮及以上,10000人以上,"['商业分析', '战略分析', '经营分析', '数据分析', '商业建模', '相关分析', 'SQL', 'R']",全勤奖，员工旅游，年终奖，定期体检，节日福利，包吃，补充医疗保险，通讯补贴，交通补助，加班补助，带薪年假，股票期权，零食下午茶，五险一金，免费班车，住房补贴
270,数据产品经理,/job_detail/ed0e1b69f78c6bd71nx809-_EFA~.html,广州·番禺区·市桥,10-15K,3-5年,本科,火石互动,/gongsi/6164cb5045c4bc811nJz39i1EQ~~.html,数据服务,未融资,100-499人,"['数据分析', '产品经理', '数据运营']",
